a, ab (prep. abl.)|de, desde, por
A. = Aulus|Aulo
abdo, -is, -ere, -didi, -ditum|ocultar, apartar, retirar
abduco, -is, -ere, -duxi, -ductum|apartar, alejar, llevarse
abeo, -is, -ire, -ii, -itum|irse, alejarse, marcharse
absens, -ntis (part. de absum)|ausente
absentia, -ae (f.)|ausencia
absum, -es, -esse, afui|estar ausente, estar lejos, distar; longe abesse: distar mucho, estar muy lejos
ac (conj. cop.)|y
accido, -is, -ere, accidi|suceder, acontecer, ocurrir
accipio, -is, -ere, accepi, acceptum|recibir, aceptar, acoger
accuso, -as, -are, -avi, -atum|acusar
acer, acris, acre|vivo, fogoso, violento, cruel, doloroso
acies, -ei (f.)|ejército en línea de batalla, línea de batalla, batalla
acriter (adv.)|vivamente, violentamente, denodadamente, encarnizadamente
actio, -onis (f.)|acción, acto, actuación
ad (prep. ac.)|a, hacia, junto a, para, hasta
adduco, -is, -ere, -duxi, -ductum|llevar, traer, atraer, aducir
adeo (adv.)|hasta allí, hasta ese punto; adeo... ut: hasta tal punto... que
adeo, -is, -ire, -ii, -itum|acercarse, dirigirse, visitar
adfero|ver affero
adgredior|ver aggredior
adhibeo, -es, -ere, -bui, -bitum|aplicar, poner, mostrar
adhuc (adv.)|hasta aquí, hasta ahora, hasta entonces
adiuvo, -as, -are, -iuvi, -iutum|ayudar
administratio, -onis (f.)|administración, gobierno, dirección
administro, -as, -are, -avi, -atum|administrar, gobernar, dirigir
adorior, -iris, -iri, -ortus sum|atacar, asaltar, abordar
adscribo, -is, -ere, -scripsi, -scriptum|adscribir, asignar
adsequor|ver assequor
adsum, -es, -esse, -fui|estar presente, estar cerca, presentarse, llegar, venir; con dat., ayudar
advenio, -is, -ire, -veni, -ventum|llegar
adventus, -us (m.)|llegada
adversarius, -ii (m.)|enemigo, adversario
adversus, -a, -um|adverso, opuesto; adversae res: circunstancias adversas, adversidad, infortunio, desgracia
adversus (prep. ac.)|contra
aedificium, -ii (n.)|edificio, construcción, casa
aedifico, -as, -are, -avi, -atum|edificar, construir, hacer
aeger, -gra, -grum|enfermo
aegre (adv.)|difícilmente, con dificultad, a duras penas
Aegyptus, -i (f.)|Egipto
aequus, -a, -um|igual, llano, justo, favorable
aerarium, -ii (n.)|erario, tesoro público
aes, aeris (n.)|cobre, bronce, dinero; aes alienum: deudas
Aesopus, -i (m.)|Esopo (fabulista griego del s. VI)
affero, affers, afferre, attuli, allatum|llevar, traer, aportar, ocasionar, anunciar
Africa, -ae (f.)|África
Africanus, -i (m.)|Africano (cognomen de Escipión)
ager, agri (m.)|campo
aggredior, -deris, -di, -gressus sum|atacar, asaltar, emprender
agmen, -minis (n.)|ejército en marcha, columna de ejército
agnus, -i (m.)|cordero
ago, -is, -ere, egi, actum|hacer, obrar, tratar, llevar; gratias agere: dar las gracias; vitam agere: pasar la vida
agricola, -ae (m.)|campesino, labrador
aio, ais|decir
Albani, -orum (m.)|los albanos (habitantes de Alba Longa, en el Lacio)
Alexander, -dri (m.)|Alejandro
alienus, -a, -um|ajeno, de otro, extraño
aliquantum (adv.)|algo, bastante
aliquis, -a, -id (-od)|alguien, alguno, algo
aliquot (adj. indecl.)|algunos
alius, -a, -ud|otro; alius... alius...: uno... otro...
Allobroges, -um|los alóbroges (habitantes de la Galia Narbonense)
Alpes, -ium (f.)|los Alpes
alte (adv.)|altamente, profundamente
altitudo, -dinis (f.)|altura, profundidad
altus, -a, -um|alto, profundo
Ambarri, -orum|los ambarros (pueblo galo que vivía junto al Saona)
ambo, -ae, -o|ambos, los dos
amica, -ae (f.)|amiga
amice (adv.)|amistosamente, amigablemente
amicitia, -ae (f.)|amistad
amicus, -i (m.)|amigo
amicus, -a, -um|amigo, amigable, amistoso
amitto, -is, -ere, amisi, amissum|perder, dejar escapar
amnis, -is (m.)|río
amo, -as, -are, -avi, -atum|amar, querer
amor, -oris (m.)|amor, cariño
amplius (adv. compar. de ample)|más
amplus, -a, -um|amplio, grande, ilustre, magnífico
an (partícula interr.)|¿es que?; en 2.º miembro de interrogación doble: o
Ancus, -i (m.)|Anco Marcio, cuarto rey de Roma
angulus, -i (m.)|ángulo, esquina, rincón
angustiae, -arum (f.)|estrechez, paso estrecho, desfiladero
angustus, -a, -um|angosto, estrecho
animadverto, -is, -ere, -verti, -versum|observar, notar, advertir, darse cuenta de
animal, -alis (n.)|animal
animus, -i (m.)|ánimo, espíritu, alma, valor
annon = an non|¿o no?
annus, -i (m.)|año
annuus, -a, -um|anual
ante (prep. ac.)|ante, delante de, antes de
ante (adv.)|antes
antea (adv.)|antes
antequam (conj. temp.)|antes de que
Antiochus, -i (m.)|Antíoco, rey de Siria
Antonius, -ii (m.)|Antonio (nomen)
Ap. = Appius|Apio
aperio, -is, -ire, -rui, -rtum|abrir
apertus, -a, -um|abierto, patente, llano, asequible
appareo, -es, -ere, -parui, -paritum|aparecer
appello, -as, -are, -avi, -atum|llamar
Appia via|vía Apia, que comunicaba Roma con el sur de Italia
Appius, -ii (m.)|Apio (praenomen)
appropinquo, -as, -are, -avi, -atum|acercarse, aproximarse
Aprilis, -is (m.)|abril
Aprilis, -e|de abril
apud (prep. ac.)|junto a, cerca de, entre, en casa de
Apulia, -ae (f.)|Apulia, región del sur de Italia
aqua, -ae (f.)|agua
aquila, -ae (f.)|águila
Aquileia, -ae (f.)|Aquileya, ciudad al norte del Adriático
Aquitani, -orum (m.)|los aquitanos, habitantes de la Galia meridional
ara, -ae (f.)|altar
Arar, Araris (m.)|el Saona
arbitror, -aris, -ari, -atus sum|pensar, opinar, creer, juzgar
arbor, -oris (f.)|árbol
argentum, -i (n.)|plata
arma, -orum (n.)|armas (especialmente, las defensivas)
aro, -as, -are, -avi, -atum|arar
arripio, -is, -ere, -ripui, -reptum|agarrar, coger, tomar
Asia, -ae (f.)|Asia
asinus, -i (m.)|asno, burro
assequor, -queris, -qui, -secutus sum|conseguir, alcanzar, obtener
at (conj. advers.)|pero, por su parte, por otra parte
Athenae, -arum (f.)|Atenas
atque (conj. cop.)|y
atrox, atrocis|atroz, terrible, violento
attentus, -a, -um|atento
attingo, -is, -ere, -tigi, -tactum|alcanzar, tocar
auctoritas, -tatis (f.)|autoridad, dignidad, prestigio
audacia, -ae (f.)|audacia, valor, osadía
audax, -acis|audaz, valiente, atrevido
audeo, -es, -ere, ausus sum|atreverse (a), osar
audio, -is, -ire, -ivi, -itum|oír, escuchar
aufero, aufers, auferre, abstuli, ablatum|llevarse, arrancar, quitar, obtener
Aufidus, -i (m.)|el río Ofanto, en Apulia, que pasa cerca de Cannas
augeo, -es, -ere, auxi, auctum|agrandar, ensanchar, engrandecer
Augustus, -i (m.)|Augusto
Aulus, -i (m.)|Aulo (praenomen)
aurum, -i (n.)|oro
aut (conj. dis.)|o, o bien
autem (conj. advers.)|pero, por otra parte, en cambio
auxilia, -orum (n.)|refuerzos, tropas auxiliares
auxilium, -ii (n.)|auxilio, ayuda
ave (fórmula de saludo)|ave, hola, salud
avis, avis (f.)|ave
barbari, -orum (m.)|los bárbaros
Belgae, -arum (m.)|los belgas
bellum, -i (n.)|guerra
belua, -ae (f.)|fiera, bestia, animal
bene (adv.)|bien, felizmente, con éxito
beneficium, -ii (n.)|beneficio, favor
bibo, -is, -ere, bibi, bibitum|beber
bini, -ae, -a|de dos en dos, dos cada uno
bis (adv.)|dos veces
blandus, -a, -um|blando, tierno, delicado, afectuoso, amistoso
bonitas, -tatis (f.)|bondad
bonum, -i (n.)|el bien, un bien; bona, -orum: bienes, riquezas, fortuna
bonus, -a, -um|bueno
bos, bovis (m. y f.)|buey, toro, vaca
brachium, -ii (n.)|brazo
brevi = brevi tempore|en breve tiempo, en poco tiempo, pronto
brevis, -e|breve, corto
Britannia, -ae (f.)|Bretaña (las actuales islas británicas)
Brutus, -i (m.)|Bruto (cognomen)
C. = Caius|Gayo
cado, -is, -ere, cecidi, casum|caer, morir, suceder
Caecus, -i (m.)|Ciego (cognomen)
caedes, -is (f.)|matanza
Caesar, -saris (m.)|César (cognomen)
Caius, -ii (m.)|Gayo (praenomen)
campus, -i (m.)|llanura, campo; Campus Martius: el Campo de Marte
canis, -is (m. y f.)|perro, perra
Cannensis, -e|cannense, de Cannas
canto, -as, -are, -avi, -atum|cantar
capella, -ae (f.)|cabrita (dim. de capra)
capio, -is, -ere, cepi, captum|coger, tomar, conquistar, apresar
Capitolium, -ii (n.)|Capitolio (una de las siete colinas de Roma, sobre la que se alzaba el templo de Júpiter Capitolino)
capra, -ae (f.)|cabra
captivus, -a, -um|prisionero
captivus, -i (m.)|prisionero
capto, -as, -are, -avi, -atum|captar, capturar, coger
Capua, -ae (f.)|Capua (ciudad de Campania, al sur del Lacio)
caput, capitis (n.)|cabeza
careo, -es, -ere, carui|carecer (con abl.)
caro, carnis (f.)|carne
carrus, -i (m.)|carro
Carthaginienses, -ium (m.)|cartagineses
Carthago, -ginis (f.)|Cartago
carus, -a, -um|querido
caseus, -i (m.)|queso
castellum, -i (n.)|fuerte
Casticus, -i (m.)|Cástico (personaje sécuano)
castra, -orum (n.)|campamento
casus, -us (m.)|caso, suceso, eventualidad, casualidad
Catilina, -ae (m.)|Catilina (cognomen), autor de una conjuración contra el Estado en el siglo I a. C.
Cato, -onis (m.)|Catón (cognomen)
Caudinus, -a, -um|caudino, de Caudio; Furculae Caudinae: las Horcas Caudinas
Caudium, -ii (n.)|Caudio (ciudad samnita)
causa, -ae (f.)|causa, motivo, razón
cavea, -ae (f.)|cávea, graderío del teatro
caveo, -es, -ere, cavi, cautum|tener cuidado, ser precavido
celer, -eris, -ere|rápido, veloz
Celeres, -um (m.)|céleres (nombre que se daba a los jinetes en tiempos de la monarquía)
celeritas, -tatis (f.)|rapidez
celeriter (adv.)|rápidamente
Celtae, -arum (m.)|los celtas
cena, -ae (f.)|cena
ceno, -as, -are, -avi, -atum|cenar
censor, -oris (m.)|censor
census, -us (m.)|censo
centeni, -nae, -na|de cien en cien, cien cada uno
centesimus, -a, -um|centésimo
centiens (adv.)|cien veces
centuria, -ae (f.)|centuria (unidad militar que constaba de unos cien infantes)
centuriatus, -a, -um|centuriado, formado por centurias
cera, -ae (f.)|cera
ceratus, -a, -um|encerado, cubierto de cera
cerno, -is, -ere, crevi, cretum|ver, distinguir, reconocer
certe (adv.)|ciertamente, desde luego, sí
certo (adv.)|con seguridad
certus, -a, -um|cierto, fijo, seguro, determinado; certiorem facere aliquem: enterar a alguien; certior fieri: enterarse, ser informado
cervus, -i (m.)|ciervo
cesso, -as, -are, -avi, -atum|cesar, detenerse
ceterus, -a, -um|demás, restante; ceteri, -orum: los demás
